name,chi2,Z,P,P.adjusted,comparisons
doc_mgl,413.32025368855943,10.452605521846962,7.127705113539479e-26,7.840475624893427e-25,INP - Tower Road Reservoir
doc_mgl,413.32025368855943,9.277137292855839,8.704653396535777e-21,8.207244631019447e-20,Kearney Lake - Lake Banook 1
doc_mgl,413.32025368855943,9.106067890713522,4.2710940656292693e-20,3.523652604144147e-19,Kearney Lake - Lake Banook 2
doc_mgl,413.32025368855943,8.543011337338116,6.5384282169210596e-18,4.7948473590754435e-17,INP - Penhorn Lake
doc_mgl,413.32025368855943,8.438007775597235,1.6139608009981083e-17,1.0652141286587515e-16,INP - Lake Charles 1
doc_mgl,413.32025368855943,8.160303897733455,1.6709135628247434e-16,1.0025481376948461e-15,INP - Lake Charles 2
doc_mgl,413.32025368855943,-7.943102981826699,9.859255020491209e-16,5.422590261270165e-15,Cunard Pond - Lake Fletcher
doc_mgl,413.32025368855943,-7.823370451467458,2.5713738860849728e-15,1.3054667421662169e-14,Lake Banook 1 - Shubenacadie Canal
doc_mgl,413.32025368855943,7.748782638650445,4.63888358319003e-15,2.1869022606467285e-14,INP - Turtle Creek Reservoir
doc_mgl,413.32025368855943,-7.661428297695693,9.193826409389149e-15,4.045283620131226e-14,Lake Banook 2 - Shubenacadie Canal
doc_mgl,413.32025368855943,-7.430285523575712,5.4181755075575836e-14,2.2349973968675033e-13,Lake Banook 1 - Lake Charles 2
doc_mgl,413.32025368855943,-7.380397826885156,7.890862456351592e-14,3.0635113065835594e-13,Lake Banook 1 - Turtle Creek Reservoir
doc_mgl,413.32025368855943,-7.253564436729812,2.029720591050282e-13,7.442308833851034e-13,Lake Banook 2 - Lake Charles 2
doc_mgl,413.32025368855943,-7.208260009022069,2.833567125928705e-13,9.842917384804976e-13,Lake Banook 2 - Turtle Creek Reservoir
doc_mgl,413.32025368855943,-7.195781494002928,3.10520086390333e-13,1.0247162850880988e-12,Lake Banook 1 - Lake Charles 1
doc_mgl,413.32025368855943,-7.0316914052845885,1.0202235190365002e-12,3.206416774114715e-12,Lake Banook 1 - Penhorn Lake
doc_mgl,413.32025368855943,-7.017669642410533,1.1279958532141412e-12,3.3839875596424236e-12,Lake Banook 2 - Lake Charles 1
doc_mgl,413.32025368855943,-6.853539096173869,3.602247498517468e-12,1.033688412618056e-11,Lake Banook 2 - Penhorn Lake
doc_mgl,413.32025368855943,6.492298385148383,4.226830594682628e-11,1.1623784135377228e-10,INP - Kearney Lake
doc_mgl,413.32025368855943,6.469587639303393,4.913536092970911e-11,1.2971735285443204e-10,INP - Shubenacadie Canal
doc_mgl,413.32025368855943,-6.432414590820558,6.279630334497478e-11,1.5940600079878212e-10,Cunard Pond - Kearney Lake
doc_mgl,413.32025368855943,5.976008292819269,1.1433568227766813e-9,2.79487223345411e-9,Lake Fletcher - Tower Road Reservoir
doc_mgl,413.32025368855943,-5.23287480599984,8.344689115045588e-8,1.9669624342607458e-7,Cunard Pond - Shubenacadie Canal
doc_mgl,413.32025368855943,4.785557914657157,8.525650380946204e-7,1.9403204315256877e-6,INP - Lake Fletcher
doc_mgl,413.32025368855943,-4.623773164148924,1.8841096790534354e-6,4.1450412939175585e-6,Cunard Pond - Turtle Creek Reservoir
doc_mgl,413.32025368855943,-4.585846250270082,2.26075628519084e-6,4.813223058793401e-6,Cunard Pond - Lake Charles 2
doc_mgl,413.32025368855943,4.511900736194415,3.212462842911501e-6,6.62570461350497e-6,Kearney Lake - Tower Road Reservoir
doc_mgl,413.32025368855943,-4.338696907687778,7.166501580011043e-6,1.4333003160022086e-5,Cunard Pond - Lake Charles 1
doc_mgl,413.32025368855943,-4.236083867830158,1.1372592559076822e-5,2.2076209085266773e-5,Lake Banook 1 - Tower Road Reservoir
doc_mgl,413.32025368855943,-4.183034087336461,1.4382212147049045e-5,2.7120742905863913e-5,Cunard Pond - Penhorn Lake
doc_mgl,413.32025368855943,-4.057243048643216,2.4827700036196292e-5,4.551745006635987e-5,Lake Banook 2 - Tower Road Reservoir
doc_mgl,413.32025368855943,3.7854385996084,7.671885838883196e-5,1.3684985550440295e-4,Lake Fletcher - Penhorn Lake
doc_mgl,413.32025368855943,-3.661884099879815,1.2518356534196967e-4,2.1742408717289471e-4,Lake Charles 1 - Lake Fletcher
doc_mgl,413.32025368855943,3.5766142364727025,1.740366222980565e-4,2.945235146582495e-4,Shubenacadie Canal - Tower Road Reservoir
doc_mgl,413.32025368855943,-3.392838719287822,3.458617616549755e-4,5.706719067307095e-4,Lake Charles 2 - Lake Fletcher
doc_mgl,413.32025368855943,3.1100201824580056,9.353728048274051e-4,0.0015057220760636278,Lake Fletcher - Turtle Creek Reservoir
doc_mgl,413.32025368855943,2.9230688230323554,0.0017329994842826882,0.002723284903872796,Cunard Pond - Lake Banook 1
doc_mgl,413.32025368855943,-2.891678405051921,0.0019159498186537237,0.002940760186770832,Tower Road Reservoir - Turtle Creek Reservoir
doc_mgl,413.32025368855943,2.797222047159286,0.002577204792548167,0.00386580718882225,Lake Charles 2 - Tower Road Reservoir
doc_mgl,413.32025368855943,2.728220143426838,0.0031838548132553323,0.004669653726107821,Cunard Pond - Lake Banook 2
doc_mgl,413.32025368855943,2.5590793410574006,0.005247489283729285,0.007529006363611582,Lake Charles 1 - Tower Road Reservoir
doc_mgl,413.32025368855943,2.419923710377761,0.007761881775927671,0.010899663770451623,Penhorn Lake - Tower Road Reservoir
doc_mgl,413.32025368855943,2.1953976303154112,0.0140675434777442,0.019342872281898276,Kearney Lake - Penhorn Lake
doc_mgl,413.32025368855943,2.0610255207187738,0.01965030270570271,0.025938399571527576,Lake Fletcher - Shubenacadie Canal
doc_mgl,413.32025368855943,2.063556862153727,0.01952987561555037,0.026305546747476007,Kearney Lake - Lake Charles 1
doc_mgl,413.32025368855943,1.7939665074085989,0.03640925740641464,0.04711786252594836,Kearney Lake - Lake Charles 2
doc_mgl,413.32025368855943,-1.6496476119340153,0.0495075154505824,0.06283646191804688,Kearney Lake - Lake Fletcher
doc_mgl,413.32025368855943,1.553544075865379,0.06014660396125997,0.07489954455553127,Kearney Lake - Turtle Creek Reservoir
doc_mgl,413.32025368855943,-1.5123417569579454,0.06522347170718039,0.07971757653099826,Cunard Pond - Tower Road Reservoir
doc_mgl,413.32025368855943,-1.4152327266169191,0.07850013603320324,0.09420016323984388,Penhorn Lake - Shubenacadie Canal
doc_mgl,413.32025368855943,-1.292996867678401,0.09800607122630983,0.11550715537386516,Lake Charles 1 - Shubenacadie Canal
doc_mgl,413.32025368855943,-1.0519849873311384,0.14640321874026435,0.16951951643609559,Lake Charles 2 - Shubenacadie Canal
doc_mgl,413.32025368855943,0.8573908900546886,0.19561444613932766,0.222595749055097,Shubenacadie Canal - Turtle Creek Reservoir
doc_mgl,413.32025368855943,-0.5685013043769689,0.2848473101270579,0.3133320411397637,Penhorn Lake - Turtle Creek Reservoir
doc_mgl,413.32025368855943,0.5747139431679161,0.2827423879876615,0.316288095037045,Kearney Lake - Shubenacadie Canal
doc_mgl,413.32025368855943,-0.4359444288294574,0.3314385245774596,0.35860561675593994,Lake Charles 1 - Turtle Creek Reservoir
doc_mgl,413.32025368855943,0.3985941182911229,0.34509614807795597,0.36736041569588856,Lake Charles 2 - Penhorn Lake
doc_mgl,413.32025368855943,-0.26118377618045246,0.39697539437285295,0.4158789845810841,Lake Charles 1 - Lake Charles 2
doc_mgl,413.32025368855943,-0.20340083345356805,0.4194108742120974,0.43251746403122543,Lake Banook 1 - Lake Banook 2
doc_mgl,413.32025368855943,-0.18236634313009842,0.4276476185802065,0.43422681271220964,Lake Charles 2 - Turtle Creek Reservoir
doc_mgl,413.32025368855943,0.13884156437549078,0.44478767421425397,0.44478767421425397,Lake Charles 1 - Penhorn Lake
p_ugl,178.9566690251576,10.810034358610796,1.5427723997722716e-27,1.0182297838496992e-25,INP - Kearney Lake
p_ugl,178.9566690251576,9.522605170419173,8.444550487840045e-22,2.7867016609872145e-20,INP - Lake Charles 2
p_ugl,178.9566690251576,8.709512102496026,1.5259276091091421e-18,3.3570407400401124e-17,INP - Lake Charles 1
p_ugl,178.9566690251576,7.992607061720852,6.605734696069238e-16,1.0899462248514242e-14,INP - Lake Banook 2
p_ugl,178.9566690251576,7.907279776976414,1.3153697361770098e-15,1.736288051753653e-14,INP - Lake Banook 1
p_ugl,178.9566690251576,7.621860977473543,1.250221294837086e-14,1.3752434243207946e-13,INP - Turtle Creek Reservoir
p_ugl,178.9566690251576,-7.524670673693142,2.6426685824849274e-14,2.4916589492000743e-13,Cunard Pond - INP
p_ugl,178.9566690251576,7.360852565343082,9.136965518750853e-14,7.537996552969453e-13,INP - Lake Fletcher
