model,specificity,lower,upper,sensitivity,model_type
full_test_2024,0.16206896551724137,0.9736842105263157,1,1,Tested on 2024
full_test_2024,0.16551724137931034,0.9736842105263157,1,1,Tested on 2024
full_test_2024,0.16896551724137931,0.9736842105263157,1,1,Tested on 2024
full_test_2024,0.1724137931034483,0.9736842105263157,1,1,Tested on 2024
full_test_2024,0.17586206896551726,0.9736842105263157,1,1,Tested on 2024
full_test_2024,0.17931034482758623,0.9736842105263157,1,1,Tested on 2024
full_test_2024,0.1827586206896552,0.9736842105263157,1,1,Tested on 2024
full_test_2024,0.18620689655172418,0.9736842105263157,1,1,Tested on 2024
full_test_2024,0.18965517241379315,0.9736842105263157,1,1,Tested on 2024
full_test_2024,0.19310344827586212,0.9736842105263157,1,1,Tested on 2024
full_test_2024,0.19655172413793098,0.9736842105263157,1,1,Tested on 2024
full_test_2024,0.19999999999999996,0.9736842105263157,1,1,Tested on 2024
full_test_2024,0.20344827586206893,0.9736842105263157,1,1,Tested on 2024
full_test_2024,0.2068965517241379,0.9605263157894737,1,1,Tested on 2024
full_test_2024,0.21034482758620687,0.9605263157894737,1,1,Tested on 2024
full_test_2024,0.21379310344827585,0.9605263157894737,1,1,Tested on 2024
full_test_2024,0.21724137931034482,0.9605263157894737,1,1,Tested on 2024
full_test_2024,0.2206896551724138,0.9605263157894737,1,1,Tested on 2024
full_test_2024,0.22413793103448276,0.9473684210526315,1,1,Tested on 2024
full_test_2024,0.22758620689655173,0.9473684210526315,1,1,Tested on 2024
full_test_2024,0.2310344827586207,0.9473684210526315,1,1,Tested on 2024
full_test_2024,0.23448275862068968,0.9473684210526315,1,1,Tested on 2024
full_test_2024,0.23793103448275865,0.9473684210526315,1,1,Tested on 2024
full_test_2024,0.24137931034482762,0.9473684210526315,1,0.9868421052631579,Tested on 2024
full_test_2024,0.2448275862068966,0.9473684210526315,1,0.9868421052631579,Tested on 2024
full_test_2024,0.24827586206896557,0.9473684210526315,1,0.9868421052631579,Tested on 2024
full_test_2024,0.25172413793103443,0.9473684210526315,1,0.9868421052631579,Tested on 2024
full_test_2024,0.2551724137931034,0.9473684210526315,1,0.9868421052631579,Tested on 2024
full_test_2024,0.2586206896551724,0.9473684210526315,1,0.9868421052631579,Tested on 2024
full_test_2024,0.26206896551724135,0.9473684210526315,1,0.9736842105263157,Tested on 2024
full_test_2024,0.2655172413793103,0.9473684210526315,1,0.9736842105263157,Tested on 2024
full_test_2024,0.2689655172413793,0.9473684210526315,1,0.9736842105263157,Tested on 2024
full_test_2024,0.27241379310344827,0.9473684210526315,1,0.9473684210526315,Tested on 2024
full_test_2024,0.27586206896551724,0.9473684210526315,1,0.9473684210526315,Tested on 2024
full_test_2024,0.2793103448275862,0.9473684210526315,1,0.9473684210526315,Tested on 2024
full_test_2024,0.2827586206896552,0.9473684210526315,1,0.9473684210526315,Tested on 2024
full_test_2024,0.28620689655172415,0.9473684210526315,0.9736842105263157,0.9473684210526315,Tested on 2024
full_test_2024,0.2896551724137931,0.9473684210526315,0.9473684210526315,0.9473684210526315,Tested on 2024
full_test_2024,0.2931034482758621,0.9210526315789473,0.9473684210526315,0.9473684210526315,Tested on 2024
full_test_2024,0.29655172413793107,0.8947368421052632,0.9473684210526315,0.9473684210526315,Tested on 2024
full_test_2024,0.30000000000000004,0.8947368421052632,0.9473684210526315,0.9473684210526315,Tested on 2024
full_test_2024,0.303448275862069,0.8947368421052632,0.9473684210526315,0.9473684210526315,Tested on 2024
full_test_2024,0.3068965517241379,0.8947368421052632,0.9473684210526315,0.9473684210526315,Tested on 2024
full_test_2024,0.31034482758620685,0.8947368421052632,0.9473684210526315,0.9473684210526315,Tested on 2024
full_test_2024,0.3137931034482758,0.8947368421052632,0.9473684210526315,0.9473684210526315,Tested on 2024
full_test_2024,0.3172413793103448,0.8947368421052632,0.9473684210526315,0.9473684210526315,Tested on 2024
full_test_2024,0.32068965517241377,0.8947368421052632,0.9473684210526315,0.9210526315789473,Tested on 2024
full_test_2024,0.32413793103448274,0.8947368421052632,0.9473684210526315,0.9210526315789473,Tested on 2024
full_test_2024,0.3275862068965517,0.8947368421052632,0.9473684210526315,0.9210526315789473,Tested on 2024
full_test_2024,0.3310344827586207,0.8947368421052632,0.9473684210526315,0.9210526315789473,Tested on 2024
full_test_2024,0.33448275862068966,0.8947368421052632,0.9473684210526315,0.9210526315789473,Tested on 2024
full_test_2024,0.33793103448275863,0.8421052631578947,0.9473684210526315,0.9210526315789473,Tested on 2024
full_test_2024,0.3413793103448276,0.8421052631578947,0.9473684210526315,0.9210526315789473,Tested on 2024
full_test_2024,0.3448275862068966,0.8421052631578947,0.9473684210526315,0.9210526315789473,Tested on 2024
full_test_2024,0.34827586206896555,0.8421052631578947,0.9473684210526315,0.9210526315789473,Tested on 2024
full_test_2024,0.3517241379310345,0.8421052631578947,0.9473684210526315,0.8947368421052632,Tested on 2024
full_test_2024,0.3551724137931035,0.8421052631578947,0.9473684210526315,0.8947368421052632,Tested on 2024
full_test_2024,0.35862068965517246,0.8421052631578947,0.9473684210526315,0.8947368421052632,Tested on 2024
full_test_2024,0.3620689655172413,0.8421052631578947,0.9473684210526315,0.8947368421052632,Tested on 2024
full_test_2024,0.3655172413793103,0.8421052631578947,0.9473684210526315,0.8947368421052632,Tested on 2024
full_test_2024,0.36896551724137927,0.8421052631578947,0.9473684210526315,0.8947368421052632,Tested on 2024
full_test_2024,0.37241379310344824,0.8421052631578947,0.9473684210526315,0.8947368421052632,Tested on 2024
